Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
KMTA02,I,8171.24046,0.0,0.0,17.123559,0.043719
KMTA02,I,8171.25212,0.0,0.0,17.141879,0.022416
KMTA02,I,8171.26425,0.0,0.0,17.120592,0.024838
KMTA02,I,8172.24405,0.0,0.0,17.146998,0.032396
KMTA02,I,8176.21939,0.0,0.0,17.129392,0.061652
KMTA02,I,8176.24161,0.0,0.0,17.148226,0.028622
KMTA02,I,8176.25643,0.0,0.0,17.157851,0.029294
KMTA02,I,8176.26866,0.0,0.0,17.149762,0.037623
KMTA02,I,8176.28247,0.0,0.0,17.167887,0.030633
KMTA02,I,8178.22143,0.0,0.0,17.189811,0.027649
KMTA02,I,8178.22685,0.0,0.0,17.154267,0.025299
KMTA02,I,8178.23819,0.0,0.0,17.146076,0.021202
KMTA02,I,8178.25027,0.0,0.0,17.109542,0.018652
KMTA02,I,8178.27217,0.0,0.0,17.126219,0.017669
KMTA02,I,8178.2843,0.0,0.0,17.141572,0.018555
KMTA02,I,8178.28598,0.0,0.0,17.143107,0.02308
KMTA02,I,8179.21092,0.0,0.0,17.249799,0.04998
KMTA02,I,8179.22345,0.0,0.0,17.278541,0.072817
KMTA02,I,8179.26981,0.0,0.0,17.015415,0.065625
KMTA02,I,8180.22015,0.0,0.0,17.128369,0.044836
KMTA02,I,8180.23119,0.0,0.0,17.114555,0.048829
KMTA02,I,8180.24646,0.0,0.0,17.112202,0.027159
KMTA02,I,8188.20954,0.0,0.0,17.192681,0.114537
KMTA02,I,8188.21154,0.0,0.0,17.152629,0.081753
KMTA02,I,8188.22283,0.0,0.0,17.233487,0.042152
KMTA02,I,8188.2339,0.0,0.0,17.173931,0.036307
KMTA02,I,8188.24731,0.0,0.0,17.131643,0.033607
KMTA02,I,8188.25889,0.0,0.0,17.360875,0.12072
KMTA02,I,8188.27717,0.0,0.0,17.25493,0.088537
KMTA02,I,8189.19034,0.0,0.0,17.12008,0.028161
KMTA02,I,8189.20172,0.0,0.0,17.157749,0.028517
KMTA02,I,8189.2147,0.0,0.0,17.119978,0.023842
KMTA02,I,8189.22638,0.0,0.0,17.121717,0.021412
KMTA02,I,8189.24435,0.0,0.0,17.174136,0.029415
KMTA02,I,8189.25761,0.0,0.0,17.128983,0.024621
KMTA02,I,8190.18707,0.0,0.0,17.109338,0.020524
KMTA02,I,8190.19848,0.0,0.0,17.099007,0.022837
KMTA02,I,8192.19266,0.0,0.0,17.120694,0.022406
KMTA02,I,8192.20373,0.0,0.0,17.144643,0.021312
KMTA02,I,8192.2149,0.0,0.0,17.148021,0.017897
KMTA02,I,8192.2293,0.0,0.0,17.156417,0.017022
KMTA02,I,8192.24069,0.0,0.0,17.151298,0.019109
KMTA02,I,8192.27081,0.0,0.0,17.171677,0.020441
KMTA02,I,8192.28223,0.0,0.0,17.151912,0.016581
KMTA02,I,8193.2433,0.0,0.0,17.145974,0.021202
KMTA02,I,8193.26073,0.0,0.0,17.135021,0.019764
KMTA02,I,8193.2725,0.0,0.0,17.130722,0.016683
KMTA02,I,8193.2837,0.0,0.0,17.155496,0.019662
KMTA02,I,8194.1742,0.0,0.0,17.163074,0.024086
KMTA02,I,8194.1926,0.0,0.0,17.166863,0.023423
KMTA02,I,8194.20391,0.0,0.0,17.140139,0.022415
KMTA02,I,8194.21654,0.0,0.0,17.123457,0.019318
KMTA02,I,8194.22792,0.0,0.0,17.149455,0.018668
